"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"102",162,9.5,601,0,6.53685522079468,2.13904690742493,-31,2.23811936378479,6,1,9.75579647592375,49.9861767286178
"103",220,9.39999961853027,610,597.826354980469,7.36078119277954,2.45763516426086,14.5,4.52076816558838,2,1,9.75710346230735,49.9703676805751
"104",162,9.5,601,0,6.53685522079468,2.13904690742493,-31,2.23811936378479,6,1,9.75831594281861,49.9847777885716
"105",162,9.5,601,0,6.90579319000244,2.36928606033325,-27.5,1.1166580915451,6,1,9.75952786541785,49.9758005489443
"106",161,9.60000038146973,601,0,7.27194213867188,2.49318099021912,-28.125,2.33839178085327,3,1,9.75959243554734,49.969606533823
"107",162,9.5,601,0,6.90579319000244,2.36928606033325,-27.5,1.1166580915451,6,1,9.75965595699413,49.9823489545017
"108",248,9.30000019073486,640,8278.818359375,7,3,-30.75,0.517964780330658,5,1,9.76226224941228,49.796386319339
"109",318,8.69999980926514,671,2576.599609375,7.6793384552002,3,9.375,0.49333393573761,5,1,9.76250815241227,50.0716995642627
"110",174,9.5,607,0,6.95615863800049,2.41519570350647,-30.75,3.07960224151611,3,1,9.76490657261922,49.9541984111763
"111",248,9.30000019073486,640,8278.818359375,7,3,-30.75,0.517964780330658,5,1,9.76522830887146,49.7935122069958
"112",271,9.30000019073486,644,8601.99609375,7,3,-3.5,1.7959725856781,2,1,9.76539636382883,49.7874459111946
"113",162,9.5,601,0,6.90579319000244,2.36928606033325,-27.5,1.1166580915451,6,1,9.76618672859159,49.9750208225494
"114",277,8.89999961853027,655,2780.74658203125,7,2.98917198181152,4.75,1.93104410171509,4,1,9.76854627695079,50.0514679461071
"115",170,9.5,603,597.826354980469,7.10419750213623,2.61278772354126,-15.125,2.33405900001526,7,1,9.76987600742413,49.9700115253922
"116",170,9.5,603,597.826354980469,7.10419750213623,2.61278772354126,-15.125,2.33405900001526,7,1,9.77001627792492,49.9724060048255
"117",185,9.5,609,597.72314453125,7.14260244369507,2.7345335483551,-23.875,4.36320877075195,6,1,9.77042739466857,49.9767838542451
"118",180,9.5,601,597.206787109375,7.0284218788147,2.23509383201599,-36.875,1.1408942937851,2,1,9.77048022845334,50.0232895538157
"119",170,9.5,603,597.826354980469,7.10419750213623,2.61278772354126,-15.125,2.33405900001526,7,1,9.77443451588867,49.9721311988884
"120",166,9.5,600,0,6.57213306427002,2.52604055404663,-29.25,0.389758169651031,7,1,9.77523265846545,49.9457469553303
"121",196,9.39999961853027,615,1195.65270996094,7,2.74844121932983,-16.375,3.52952408790588,6,1,9.77657499878618,49.9698524028027
"122",166,9.5,600,0,6.57213306427002,2.52604055404663,-29.25,0.389758169651031,7,1,9.77923420116674,49.9481165318991
"123",166,9.5,600,0,6.57213306427002,2.52604055404663,-29.25,0.389758169651031,7,1,9.77928283156351,49.9443319629918
"124",319,8.69999980926514,669,926.928955078125,7.6944375038147,2.0571608543396,17.125,1.42679464817047,6,1,9.78145061847457,50.1255984894668
"125",340,8.89999961853027,680,5032.509765625,7.48233461380005,3,13.25,0.730313420295715,8,1,9.7819419169403,49.8444934729839
"126",217,9.30000019073486,617,926.914245605469,7.03751039505005,2.43503761291504,-7.75,1.50744593143463,4,1,9.78319202261565,50.0339543570469
"127",229,9.19999980926514,625,2844.09912109375,7.13624048233032,2.9958438873291,-27.875,0.693807780742645,7,1,9.78520146475964,50.0509597905175
"128",221,9.39999961853027,619,1514.23681640625,6.50801467895508,3,-8.875,2.82380342483521,4,1,9.78640720789315,49.8919295709774
"129",173,9.5,600,0,7.07924747467041,2.65921831130981,-33.375,1.09304809570312,2,1,9.7866180970324,50.014085436588
"130",234,9.10000038146973,631,1947.58666992188,7.14245319366455,2.97352838516235,-12.25,1.90002477169037,7,1,9.78675104055449,50.0482379425284
"131",199,9.5,600,597.413330078125,7.22296047210693,2.50787734985352,-28.125,4.13706731796265,2,1,9.78718426091669,50.0029736319474
"132",207,9.39999961853027,620,2206.93139648438,6.64978837966919,3,-24.375,2.7316370010376,2,1,9.78784964579523,49.8905184236626
"133",211,9.30000019073486,620,1102.56103515625,7.13652563095093,2.75768303871155,-25,2.32795548439026,6,1,9.78799698596508,50.0378404930695
"134",180,9.5,603,926.899475097656,6.84089708328247,2.94404554367065,-18,0.975540637969971,2,1,9.78857417803275,49.9382962592831
"135",180,9.5,603,926.899475097656,6.84089708328247,2.94404554367065,-18,0.975540637969971,2,1,9.78956670450561,49.9397448602691
"136",207,9.39999961853027,620,2206.93139648438,6.64978837966919,3,-24.375,2.7316370010376,2,1,9.79054185087905,49.8861188468639
"137",231,9.5,600,0,7.3069281578064,3,5.5,4.26239776611328,6,1,9.79295723394285,49.941769623718
"138",198,9.5,613,1103.43823242188,6.43551015853882,3,-8.25,2.06604361534119,4,1,9.79335337105685,49.8925205709274
"139",197,9.39999961853027,612,598.445495605469,6.59547138214111,3,-7.625,3.95414185523987,3,1,9.79400703955534,49.9190855750099
"140",167,9.5,600,598.239196777344,6.87551593780518,3,-34.875,1.56224966049194,6,1,9.7944251065185,49.9364744754007
"141",174,9.5,600,0,7,2.52467226982117,-39.375,0.430731266736984,8,1,9.79490426316716,50.0046851638141
"142",197,9.39999961853027,612,598.445495605469,6.59547138214111,3,-7.625,3.95414185523987,3,1,9.7951375480044,49.9226947673718
"143",183,9.39999961853027,612,598.342346191406,6.63636445999146,3,-5.625,2.26217842102051,3,1,9.79747810088884,49.9269563546527
